actual,predicted
6.61,46.76
4.40,53.3
9.20,37.65
7.20,48.51
5.60,56.35
4.30,57.37
3.60,60.32
6.20,48.77
8.40,39.98
8.10,39.98
5.10,53.87
6.10,47.31
4.20,63.2
8.10,39.34
7.50,55.09
7.80,44.46
8.60,40.29
6.80,46.1
7.40,45.62
5.20,56.8
5.50,55.15
3.40,58.47
8.00,47.68
3.50,63.33
7.40,44.05
7.50,43.96
7.62,45.4
8.90,39
8.50,39.76
9.40,34.42
8.60,40.74
8.50,39.37
7.60,42.93
8.50,42
8.90,42.4
5.50,53.3
8.00,43.2
6.40,53.98
5.70,51.75
11.10,35.67
11.00,32.05
8.30,41.08
8.30,39.76
6.90,43.22
6.50,51.55
8.40,31.96
8.50,39.12
6.50,47.56
